name,rating,reviews,industry_sector,no_of_employees,company_type,how_old,head_quarters
FedEx Express,4.2,1.1k,Logistics , 5k-10k Employees , Forbes Global 2000 , 53 years old , 	Moon Township +89 more
Tesco,3.9,1.1k,Retail , 1k-5k Employees , Forbes Global 2000 , 105 years old , Hertfordshire +14 more
Jet Airways,4.6,1.1k,Aviation , 201-500 Employees , Public , 31 years old , Mumbai +45 more
Narayana Educational Society,3.6,1.1k,Education & Training , 1k-5k Employees , 39 years old ," Hyderabad/Secunderabad +120 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Life Balance",
KFC,4.2,1.1k,Hospitality , 5k-10k Employees , 72 years old ," Louisville +135 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security",
Sony,4.3,1.1k,Consumer Electronics & Appliances , 1k-5k Employees , Public , 30 years old , Delhi/NCR +125 more
Marriott International,4.2,1.1k,Hospitality , 10k-50k Employees , Forbes Global 2000 , 97 years old , Bethesda +69 more
iOPEX Technologies,3.9,1.1k,IT Services & Consulting , 1k-5k Employees , 15 years old ," San Jose +14 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",
Toyota Kirloskar Motor,4.4,1.1k,Automobile , 5k-10k Employees , Fortune India 500 , 27 years old , Bangalore/Bengaluru +68 more
L.G.Balakrishnan & Bros,3.7,1.1k,Auto Components , 1k-5k Employees , Public , 87 years old , Coimbatore +36 more
Trident Group,3.5,1.1k,Fashion & Textile , 10k-50k Employees , Public , 34 years old , Ludhiana +44 more
NIIT,3.6,1.1k,Education & Training , 1k-5k Employees , Public , 43 years old , Gurgaon/Gurugram +93 more
Inox Leisure,4.1,1.1k,Media & Entertainment , 1k-5k Employees , Public , 25 years old , Mumbai +84 more
Fusion BPO Services,3.1,1.1k,BPO , 1k-5k Employees , 20 years old ," Kolkata +43 more
								    Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",
Veritas Finance,4.8,1.1k,Internet , 1k-5k Employees , Startup , 9 years old , Chennai +251 more
Iris Software,4.2,1.1k,IT Services & Consulting , 1k-5k Employees , 33 years old ," Edison +16 more
								   
		 AmbitionBox Award Winner'22
	    Highly Rated For Company Culture, Salary & Benefits, Work Life Balance",
Bajaj Capital,4.0,1.1k,Financial Services , 1k-5k Employees , Public , 60 years old , Delhi/NCR +140 more
Muthoot Group,3.6,1.1k,Financial Services , 10k-50k Employees , Public , 137 years old , Wedel +262 more
Marico,4.0,1.1k,FMCG , 1k-5k Employees , Public , 36 years old , Mumbai +137 more
HTC Global Services,3.7,1.1k,IT Services & Consulting , 5k-10k Employees , 34 years old ," Troy +24 more
								    Critically Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning",
SRL Diagnostics,4.1,1.1k,Healthcare , 5k-10k Employees , 29 years old ," Mumbai +118 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security",
Oracle Financial Services Software,3.8,1.1k,IT Services & Consulting , 10k-50k Employees , Public , 34 years old , Mumbai +18 more
Suguna Foods,4.1,1.1k,Food Processing , 5k-10k Employees , 40 years old ," Coimbatore +150 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security",
Panasonic,4.2,1.1k,Consumer Electronics & Appliances , 10k-50k Employees , Forbes Global 2000 , 106 years old , Kadoma +112 more
Welspun,3.9,1.1k,Fashion & Textile , 10k-50k Employees , Fortune India 500 , 39 years old , Mumbai +58 more
Barclays Shared Services,4.1,1.1k,IT Services & Consulting , 5k-10k Employees , 17 years old ," London +12 more
								   Highly Rated For Job Security, Company Culture, Work Life Balance",
ZF Commercial Vehicle Control Systems,4.0,1.1k,Auto Components ," Chennai +33 more
								   Highly Rated For Skill Development / Learning, Company Culture  Critically Rated For Promotions / Appraisal, Job Security",,,
ISS Facility Services,4.2,1.1k,Facility Management Services , 10k-50k Employees , 19 years old ," Copenhagen +52 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture",
Pantaloons,4.1,1.1k,Fashion & Textile , 5k-10k Employees , Public , 27 years old , Mumbai +139 more
Altruist Technologies,3.2,1.1k,BPO , 1k-5k Employees , 19 years old ," Chandigarh +29 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
Nayara Energy,4.3,1.1k,Oil & Gas , 1k-5k Employees , Fortune India 500 , 35 years old , Mumbai +74 more
Hero Motors Company,4.0,1.1k,Automobile , 201-500 Employees , 26 years old ," New Delhi +185 more
								   Highly Rated For Company Culture, Skill Development / Learning, Work Satisfaction",
Satin Creditcare Network,4.1,1.1k,NBFC , 5k-10k Employees , Public , 34 years old , Gurgaon/Gurugram +221 more
Fabindia,3.9,1.1k,Fashion & Textile , 1k-5k Employees , 66 years old ," Delhi/NCR +82 more
								   Highly Rated For Job Security, Skill Development / Learning, Work Life Balance  Critically Rated For Promotions / Appraisal",
Tata Advanced Systems,3.8,1.1k,Defence & Aerospace , 5k-10k Employees , 17 years old ," Hyderabad/Secunderabad +32 more
								   Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",
CGI Information Systems And Management Consultants,4.2,1.1k,IT Services & Consulting , 10k-50k Employees ," Bengaluru/Bangalore +11 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture",,
Krishna Maruti,4.0,1.1k,Auto Components , 1k-5k Employees , 30 years old ," Gurgaon/Gurugram +24 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Company Culture",
Polycab Wires,4.0,1.1k,Electrical Equipment , 1k-5k Employees , Fortune India 500 , 28 years old , Mumbai +106 more
Ola Electric Mobility,3.2,1.1k,Automobile , 5k-10k Employees , Indian Unicorn , 7 years old , Bangalore +142 more
TTEC India,3.8,1.1k,BPO , 1k-5k Employees , Public , 40 years old , Englewood +19 more
Collabera Technologies,3.6,1.1k,IT Services & Consulting , 501-1k Employees , 33 years old ," Basking Ridge +47 more
								    Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",
TaskUs,3.5,1.1k,BPO , 5k-10k Employees , 16 years old ," New Braunfels +20 more
								    Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",
Cushman & Wakefield,4.3,1.1k,Real Estate , 1k-5k Employees , 27 years old ," Chicago +36 more
								   Highly Rated For Company Culture, Job Security, Work Life Balance",
VLCC,3.7,1.1k,Beauty & Personal Care , 1k-5k Employees , Conglomerate , 35 years old , Delhi/NCR +100 more
Redcliffe Labs,4.5,1.1k,Healthcare , 1k-5k Employees , 6 years old ," Noida +72 more
								   Highly Rated For Skill Development / Learning, Salary & Benefits, Work Satisfaction",
Manipal Hospitals,4.2,1.1k,Healthcare , 10k-50k Employees , 71 years old ," Bangalore/Bengaluru +47 more
								   Highly Rated For Skill Development / Learning, Job Security, Company Culture",
Infinite Computer Solutions,3.5,1.1k,IT Services & Consulting , 1k-5k Employees , Public , 23 years old , Rockville  +26 more
J. Kumar Infraprojects,4.1,1k,Engineering & Construction , 5k-10k Employees , Public , 44 years old , Mumbai +29 more
Gland Pharma,3.5,1k,Pharma , 1k-5k Employees , Fortune India 500 , 46 years old , Hyderabad/Secunderabad +25 more
Akzo Nobel India,4.1,1k,Chemicals , 1k-5k Employees , Public , 85 years old , Amsterdam +123 more
Daimler India Commercial Vehicles,4.1,1k,Automobile , 1k-5k Employees , 138 years old ," Chennai +37 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",
Ocwen Financial Solutions,4.1,1k,Financial Services , 1k-5k Employees , 36 years old ," West Palm Beach +8 more
								   Highly Rated For Work Life Balance, Company Culture, Work Satisfaction  Critically Rated For Promotions / Appraisal",
Jindal X,3.6,1k,BPO , 1k-5k Employees , Public , 26 years old , New Delhi +19 more
HCL Technologies BPO Services,3.5,1k,BPO , 1 Lakh+ Employees , 23 years old ," Noida +34 more
								   Highly Rated For Job Security  Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
ICICI Home Finance,3.7,1k,NBFC , 1k-5k Employees , 25 years old ," Mumbai +177 more
								    Critically Rated For Work Life Balance, Work Satisfaction",
Sysnet Global Technologies,3.6,1k,IT Services & Consulting , 1k-5k Employees , 25 years old ," Delhi/NCR +105 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Life Balance",
Supreme Industries,4.2,1k,Petrochemicals , 5k-10k Employees , Public , 82 years old , Mumbai +86 more
Asahi India Glass,3.9,1k,Auto Components , 1k-5k Employees , Public , 40 years old , Gurgaon/Gurugram +61 more
Godrej Group,4.0,1k,FMCG , 10k-50k Employees , Public , 127 years old , Mumbai +108 more
Granules India,3.9,1k,Pharma , 1k-5k Employees , Public , 40 years old , Hyderabad/Secunderabad +15 more
Chandigarh University,4.5,1k,Education & Training , 5k-10k Employees , 12 years old ," Mohali +41 more
								   Highly Rated For Job Security, Skill Development / Learning, Work Life Balance",
Bharat Forge,3.8,1k,Iron & Steel , 1k-5k Employees , Public , 63 years old , Pune +18 more
Ashoka Buildcon,4.1,1k,Engineering & Construction , 1k-5k Employees , Public , 48 years old , Nasik/Nashik +125 more
TCS iON,3.9,1k,IT Services & Consulting , 1k-5k Employees , 13 years old ," Mumbai +93 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",
Majorel,4.5,1k,BPO , 501-1k Employees , 5 years old ," Luxembourg
 +8 more
								   Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance",
Sanofi,4.4,1k,Pharma , 1k-5k Employees , Public , 20 years old , Paris +68 more
Canara Bank,3.4,1k,Banking , 50k-1 Lakh Employees , Public , 118 years old , Bangalore/Bengaluru +160 more
Aptara,3.4,1k,Printing & Publishing , 1k-5k Employees , 36 years old ," Falls Church +10 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Aye Finance,4.2,1k,NBFC , 5k-10k Employees , Startup , 11 years old , Delhi +226 more
NeoSOFT,3.8,1k,IT Services & Consulting , 1k-5k Employees , 28 years old ," Mumbai +19 more
								   Highly Rated For Skill Development / Learning",
Tata Group,4.3,1k,IT Services & Consulting , 1 Lakh+ Employees , Conglomerate , 156 years old , Mumbai +128 more
Unisys,3.8,1k,IT Services & Consulting , 1k-5k Employees , 38 years old ," Blue Bell +13 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal",
GMR Group,4.1,1k,Engineering & Construction , 10k-50k Employees , Public , 46 years old , Delhi/NCR +52 more
MiraMed Ajuba,4.0,1k,BPO , 1k-5k Employees , 23 years old ," Chennai +13 more
								   Highly Rated For Job Security, Company Culture, Skill Development / Learning",
Adani Ports and SEZ,3.9,1k,Ports & Shipping , 1k-5k Employees , Public , 26 years old , Ahmedabad +69 more
GE Vernova,4.2,1k,"Noida +70 more
								   Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",,,,
Edelweiss,3.8,1k,Financial Services , 1k-5k Employees , Public , 7 years old , Mumbai +108 more
EPAM Systems,3.8,1k,IT Services & Consulting , 5k-10k Employees , 31 years old ," Newtown +18 more
								   Highly Rated For Salary & Benefits, Skill Development / Learning, Work Life Balance  Critically Rated For Job Security",
Caterpillar Inc,4.3,1k,Industrial Machinery , 5k-10k Employees , Forbes Global 2000 , 99 years old , Deerfield +32 more
Aircel,4.4,998,Telecom , 5k-10k Employees , 25 years old ," Gurgaon/Gurugram +115 more
								   Highly Rated For Work Satisfaction, Company Culture, Skill Development / Learning",
Sharekhan,4.0,998,Financial Services , 1k-5k Employees , Public , 24 years old , Mumbai +106 more
Annapurna Finance,4.1,998,NBFC , 5k-10k Employees , 15 years old ," Bhubaneswar +256 more
								   Highly Rated For Salary & Benefits, Job Security, Promotions / Appraisal",
ITD Cementation India,4.2,997,Engineering & Construction , 1k-5k Employees , Public , 93 years old , Mumbai +60 more
Spicejet,3.3,997,Aviation , 5k-10k Employees , Public , 20 years old , Gurgaon/Gurugram +57 more
HighRadius,3.1,997,FinTech , 1k-5k Employees , 18 years old ," Houston +11 more
								    Critically Rated For Job Security, Work Life Balance, Work Satisfaction",
Adani Group,3.9,997,Power , 10k-50k Employees , Public , 36 years old , Ahmedabad +109 more
Steel Strips Wheels,3.7,996,Auto Components , 1k-5k Employees , Public , 33 years old , Chandigarh +33 more
Evalueserve,3.6,995,IT Services & Consulting , 1k-5k Employees , 24 years old ," Schaffhausen +10 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Compass Group Support Services,4.1,995,Hospitality , 10k-50k Employees , Public , 83 years old , Chertsey +63 more
GE,4.2,992,Defence & Aerospace , 10k-50k Employees , Forbes Global 2000 , 132 years old , Boston +57 more
Biocon Limited,3.9,991,Biotechnology , 5k-10k Employees , Public , 46 years old , Bangalore Rural +48 more
AB InBev India,3.6,991,Beverage , 1k-5k Employees , Public , 36 years old , Leuven +64 more
Heritage Foods,4.1,991,Food Processing , 1k-5k Employees , Public , 32 years old , Hyderabad/Secunderabad +82 more
NSE.IT,3.5,990,IT Services & Consulting , 1k-5k Employees , Public , 25 years old , Mumbai +135 more
Vfs Global Services,3.7,988,BPO , 1k-5k Employees , 23 years old ," Mumbai +23 more
								    Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
Amity University,3.7,986,Education & Training , 1k-5k Employees , 19 years old ," Noida +76 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Xiaomi,3.8,985,Consumer Electronics & Appliances , 1k-5k Employees , Forbes Global 2000 , 14 years old , Haidian District +168 more
Broadridge Financial Solutions,4.0,985,FinTech , 5k-10k Employees , Forbes Global 2000 , 17 years old , New York City +7 more
Shadowfax Technologies,3.6,984,Logistics , 1k-5k Employees , Public , 9 years old , Bangalore +146 more
Bharat FIH,4.0,983,Electronics Manufacturing , 10k-50k Employees ," Chennai +27 more
								   Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  Critically Rated For Promotions / Appraisal",,
Cinépolis,4.0,972,Media & Entertainment , 1k-5k Employees , 53 years old ," Morelia +52 more
								   Highly Rated For Company Culture, Job Security, Skill Development / Learning",
Pine Labs,3.8,970,FinTech , 1k-5k Employees , Indian Unicorn , 26 years old , Noida +76 more
Iksula,3.8,970,IT Services & Consulting , 501-1k Employees , 17 years old ," Mumbai +115 more
								    Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",
Synchrony,4.5,970,Financial Services , 1k-5k Employees , Forbes Global 2000 , 21 years old , Stamford +9 more
Lumax Industries,3.9,970,Auto Components , 1k-5k Employees , Public , 79 years old , Pune +30 more
Northern Trust Operating Services,4.1,970,Financial Services , 5k-10k Employees , Forbes Global 2000 , 135 years old , Chicago +15 more
Indoco Remedies,3.6,969,Pharma , 5k-10k Employees , Public , 77 years old , Mumbai +62 more
Unichem Laboratories,4.0,969,Pharma , 1k-5k Employees , Public , 80 years old , Mumbai +63 more
SYSKA LED Lights,2.9,968,Consumer Electronics & Appliances , 1k-5k Employees (Global) , Startup , 12 years old , Pune +147 more
Jakson Group,4.5,968,Power , 1k-5k Employees , 77 years old ," Noida +81 more
								   Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance",
Bisleri,4.1,964,Beverage , 1k-5k Employees , 59 years old ," Mumbai +128 more
								   Highly Rated For Job Security, Work Life Balance, Salary & Benefits",
IFB,3.6,961,Consumer Electronics & Appliances , 201-500 Employees , Public , 50 years old , Kolkata +134 more
